dt,switch,src,dst,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
0.000397,0,172.253.118.95,10.10.1.198,246994,288879713,0.000397,0,0.000397,62,246932,3983.7741935483873,4659350.20967742,0.0001466107647377,62,TCP,443,0,288879713,0.0,5821253662.4685135,5821253662.4685135,
0.0,0,142.251.12.95,10.10.1.198,20968,24517701,0.0,0,0.0,24,20944,873.6666666666666,1021570.875,1.24162645233e-05,24,TCP,443,0,24517701,0.0,0.0,0.0,
0.0,0,74.125.24.95,10.10.1.198,205276,258348526,0.0,0,0.0,30,205246,6842.533333333334,8611617.533333333,0.0001216045470492,30,TCP,443,0,258348526,0.0,0.0,0.0,
1.3e-05,0,10.10.1.198,172.253.118.95,22845,31780834,1.3e-05,0,1.3e-05,11,22834,2076.818181818182,2889166.727272727,1.35353506022e-05,11,TCP,47958,0,31780834,0.0,19557436307.692307,19557436307.692307,
9.2e-05,0,172.217.194.95,10.10.1.198,114928,142766782,9.2e-05,0,9.2e-05,34,114894,3380.235294117647,4199023.0,6.80653953294e-05,34,TCP,443,0,142766782,0.0,12414502782.608696,12414502782.608696,
1.3e-05,0,10.10.1.198,74.125.200.95,75062,92129789,1.3e-05,0,1.3e-05,27,75035,2780.074074074074,3412214.407407407,4.44527334988e-05,27,TCP,43866,0,92129789,0.0,56695254769.23077,56695254769.23077,
1.1e-05,0,10.10.1.198,172.253.118.95,237397,280351576,1.1e-05,0,1.1e-05,48,237349,4945.770833333333,5840657.833333333,0.0001409142086017,48,TCP,38416,0,280351576,0.0,203892055272.7273,203892055272.7273,
0.000493,0,172.217.194.95,10.10.1.198,180647,225162920,0.000493,0,0.000493,38,180609,4753.868421052632,5925340.0,0.0001069870640745,38,TCP,443,0,225162920,0.0,3653759350.9127774,3653759350.9127774,
1.2e-05,0,10.10.1.198,172.253.118.95,256956,314505704,1.2e-05,0,1.2e-05,78,256878,3294.3076923076924,4032124.4102564105,0.0001522741131308,78,TCP,37200,0,314505704,0.0,209670469333.3333,209670469333.3333,
1.6e-05,0,10.10.1.198,74.125.130.95,177022,216782256,1.6e-05,0,1.6e-05,30,176992,5900.733333333334,7226075.2,0.0001048509266873,30,TCP,36626,0,216782256,0.0,108391128000.0,108391128000.0,
1.3e-05,0,10.10.1.198,142.251.12.95,173457,201431233,1.3e-05,0,1.3e-05,37,173420,4688.027027027027,5444087.378378378,0.0001029606904497,37,TCP,50422,0,201431233,0.0,123957681846.15384,123957681846.15384,
0.015842,0,127.0.0.1,127.0.0.1,275999,333591370,0.015842,0,0.015842,156,275843,1769.224358974359,2138406.217948718,0.0001635841520488,154,TCP,9100,0,333591370,0.0,168459219.79548037,168459219.79548037,
0.000198,0,142.251.12.95,10.10.1.198,224088,261388103,0.000198,0,0.000198,36,224052,6224.666666666667,7260780.638888889,0.0001330142913984,36,TCP,443,0,261388103,0.0,10561135474.747477,10561135474.747477,
0.00022,0,142.251.12.95,10.10.1.198,317494,380369317,0.00022,0,0.00022,51,317443,6225.372549019608,7458221.901960785,0.0001882072103679,51,TCP,443,0,380369317,0.0,13831611527.272728,13831611527.272728,
1e-05,0,10.10.11.7,142.251.175.95,101033,167648467,1e-05,0,1e-05,24,101009,4209.708333333333,6985352.791666667,5.93804158626e-05,24,TCP,35964,0,167648467,0.0,134118773600.0,134118773600.0,
0.173344,0,185.224.128.142,10.10.1.198,448475,402623498,0.173344,0,0.173344,5819,442656,77.07080254339233,69191.183708541,0.0002658047690454,5779,TCP,57262,0,402623498,0.0,18581479.50895329,18581479.50895329,
3.5e-05,0,10.10.1.198,43.142.23.15,417511,441941722,3.5e-05,0,3.5e-05,6394,411117,65.29730997810448,69118.19236784485,0.0002474930323482,6184,TCP,22,0,441941722,0.0,101015250742.85716,101015250742.85716,
1.7e-05,0,10.10.1.198,74.125.68.95,233521,279807160,1.7e-05,0,1.7e-05,36,233485,6486.694444444444,7772421.111111111,0.0001382872301927,36,TCP,42516,0,279807160,0.0,131673957647.05882,131673957647.05882,
